"level","character","readings_on","readings_kun","meaning"
"N5","一","{""いち"",""いつ""}","{""ひと-"",""ひと.つ""}","One; One Radical (no.1)"
"N5","二","{""に"",""じ""}","{""ふた"",""ふた.つ"",""ふたたび""}","Two; Two Radical (no. 7)"
"N5","九","{""きゅう"",""く""}","{""ここの"",""ここの.つ""}","Nine"
"N5","七","{""しち""}","{""なな"",""なな.つ"",""なの""}","Seven"
"N5","人","{""じん"",""にん""}","{""ひと"",""-り"",""-と""}","Person"
"N5","入","{""にゅう"",""じゅ""}","{""い.る"",""-い.る"",""-い.り"",""い.れる"",""-い.れ"",""はい.る""}","Enter; Insert"
"N5","八","{""はち""}","{""や"",""や.つ"",""やっ.つ"",""よう""}","Eight; Eight Radical (no. 12)"
"N4","力","{""りょく"",""りき"",""りい""}","{""ちから""}","Power; Strength; Strong; Strain; Bear Up; Exert"
"N5","十","{""じゅう"",""じっ"",""じゅっ""}","{""とお"",""と""}","Ten"
"N5","三","{""さん"",""ぞう""}","{""み"",""み.つ"",""みっ.つ""}","Three"
"N5","上","{""じょう"",""しょう"",""しゃん""}","{""うえ"",""-うえ"",""うわ-"",""かみ"",""あ.げる"",""-あ.げる"",""あ.がる"",""-あ.がる"",""あ.がり"",""-あ.がり"",""のぼ.る"",""のぼ.り"",""のぼ.せる"",""のぼ.す"",""たてまつ.る""}","Above; Up"
"N5","下","{""か"",""げ""}","{""した"",""しも"",""もと"",""さ.げる"",""さ.がる"",""くだ.る"",""くだ.り"",""くだ.す"",""-くだ.す"",""くだ.さる"",""お.ろす"",""お.りる""}","Below; Down; Descend; Give; Low; Inferior"
"N4","口","{""こう"",""く""}","{""くち""}","Mouth"
"N5","大","{""だい"",""たい""}","{""おお-"",""おお.きい"",""-おお.いに""}","Large; Big"
"N5","女","{""じょ"",""にょ"",""にょう""}","{""おんな"",""め""}","Woman; Female"
"N5","山","{""さん"",""せん""}","{""やま""}","Mountain"
"N5","川","{""せん""}","{""かわ""}","Stream; River; River Or Three-stroke River Radical (no. 47)"
"N4","工","{""こう"",""く"",""ぐ""}","{}","Craft; Construction; Katakana E Radical (no. 48)"
"N1","刀","{""とう""}","{""かたな"",""そり""}","Sword; Saber; Knife"
"N5","土","{""ど"",""と""}","{""つち""}","Soil; Earth; Ground; Turkey"
"N5","千","{""せん""}","{""ち""}","Thousand"
"N4","夕","{""せき""}","{""ゆう""}","Evening"
"N5","子","{""し"",""す"",""つ""}","{""こ"",""-こ"",""ね""}","Child; Sign Of The Rat; 11pm-1am; First Sign Of Chinese Zodiac"
"N5","小","{""しょう""}","{""ちい.さい"",""こ-"",""お-"",""さ-""}","Little; Small"
"N1","丁","{""ちょう"",""てい"",""ちん"",""とう"",""ち""}","{""ひのと""}","Street; Ward; Town; Counter For Guns, Tools, Leaves Or Cakes Of Something; Even Number; 4th Calendar Sign"
"N2","了","{""りょう""}","{}","Complete; Finish"
"N1","又","{""ゆう""}","{""また"",""また-"",""また.の-""}","Or Again; Furthermore; On The Other Hand"
"N2","丸","{""がん""}","{""まる"",""まる.める"",""まる.い""}","Round; Full (month); Perfection; -ship; Pills; Make Round; Roll Up; Curl Up; Seduce; Explain Away"
"N3","才","{""さい""}","{}","Genius; Years Old; Cubic Shaku"
"N5","中","{""ちゅう""}","{""なか"",""うち"",""あた.る""}","In; Inside; Middle; Mean; Center"
"N5","五","{""ご""}","{""いつ"",""いつ.つ""}","Five"
"N5","六","{""ろく"",""りく""}","{""む"",""む.つ"",""むっ.つ"",""むい""}","Six"
"N5","円","{""えん""}","{""まる.い"",""まる"",""まど"",""まど.か"",""まろ.やか""}","Circle; Yen; Round"
"N5","天","{""てん""}","{""あまつ"",""あめ"",""あま-""}","Heavens; Sky; Imperial"
"N4","手","{""しゅ"",""ず""}","{""て"",""て-"",""-て"",""た-""}","Hand"
"N4","文","{""ぶん"",""もん""}","{""ふみ"",""あや""}","Sentence; Literature; Style; Art; Decoration; Figures; Plan; Literary Radical (no. 67)"
"N5","日","{""にち"",""じつ""}","{""ひ"",""-び"",""-か""}","Day; Sun; Japan; Counter For Days"
"N5","月","{""げつ"",""がつ""}","{""つき""}","Month; Moon"
"N5","木","{""ぼく"",""もく""}","{""き"",""こ-""}","Tree; Wood"
"N5","水","{""すい""}","{""みず"",""みず-""}","Water"
"N5","火","{""か""}","{""ひ"",""-び"",""ほ-""}","Fire"
"N4","犬","{""けん""}","{""いぬ"",""いぬ-""}","Dog"
"N3","王","{""おう"",""-のう""}","{}","King; Rule; Magnate"
"N5","出","{""しゅつ"",""すい""}","{""で.る"",""-で"",""だ.す"",""-だ.す"",""い.でる"",""い.だす""}","Exit; Leave; Go Out; Come Out; Put Out; Protrude"
"N5","右","{""う"",""ゆう""}","{""みぎ""}","Right"
"N5","四","{""し""}","{""よ"",""よ.つ"",""よっ.つ"",""よん""}","Four"
"N5","左","{""さ"",""しゃ""}","{""ひだり""}","Left"
"N5","本","{""ほん""}","{""もと""}","Book; Present; Main; Origin; True; Real; Counter For Long Cylindrical Things"
"N4","正","{""せい"",""しょう""}","{""ただ.しい"",""ただ.す"",""まさ"",""まさ.に""}","Correct; Justice; Righteous; 10**40"
"N2","玉","{""ぎょく""}","{""たま"",""たま-"",""-だま""}","Jewel; Ball"
"N4","田","{""でん""}","{""た""}","Rice Field; Rice Paddy"
"N5","白","{""はく"",""びゃく""}","{""しろ"",""しら-"",""しろ.い""}","White"
"N4","目","{""もく"",""ぼく""}","{""め"",""-め"",""ま-""}","Eye; Class; Look; Insight; Experience; Care; Favor"
"N3","石","{""せき"",""しゃく"",""こく""}","{""いし""}","Stone"
"N4","立","{""りつ"",""りゅう"",""りっとる""}","{""た.つ"",""-た.つ"",""た.ち-"",""た.てる"",""-た.てる"",""た.て-"",""たて-"",""-た.て"",""-だ.て"",""-だ.てる""}","Stand Up; Rise; Set Up; Erect"
"N5","万","{""まん"",""ばん""}","{""よろず""}","Ten Thousand; 10,000"
"N2","久","{""きゅう"",""く""}","{""ひさ.しい""}","Long Time; Old Story"
"N5","今","{""こん"",""きん""}","{""いま""}","Now"
"N4","元","{""げん"",""がん""}","{""もと""}","Beginning; Former Time; Origin"
"N4","公","{""こう"",""く""}","{""おおやけ""}","Public; Prince; Official; Governmental"
"N3","内","{""ない"",""だい""}","{""うち""}","Inside; Within; Between; Among; House; Home"
"N4","切","{""せつ"",""さい""}","{""き.る"",""-き.る"",""き.り"",""-き.り"",""-ぎ.り"",""き.れる"",""-き.れる"",""き.れ"",""-き.れ"",""-ぎ.れ""}","Cut; Cutoff; Be Sharp"
"N5","午","{""ご""}","{""うま""}","Noon; Sign Of The Horse; 11am-1pm; Seventh Sign Of Chinese Zodiac"
"N5","友","{""ゆう""}","{""とも""}","Friend"
"N3","太","{""たい"",""た""}","{""ふと.い"",""ふと.る""}","Plump; Thick; Big Around"
"N4","少","{""しょう""}","{""すく.ない"",""すこ.し""}","Few; Little"
"N3","引","{""いん""}","{""ひ.く"",""ひ.き"",""ひ.き-"",""-び.き"",""ひ.ける""}","Pull; Tug; Jerk; Admit; Install; Quote; Refer To"
"N4","心","{""しん""}","{""こころ"",""-ごころ""}","Heart; Mind; Spirit; Heart Radical (no. 61)"
"N2","戸","{""こ""}","{""と""}","Door; Counter For Houses; Door Radical (no. 63)"
"N4","方","{""ほう""}","{""かた"",""-かた"",""-がた""}","Direction; Person; Alternative"
"N4","牛","{""ぎゅう""}","{""うし""}","Cow"
"N5","父","{""ふ""}","{""ちち""}","Father"
"N2","毛","{""もう""}","{""け""}","Fur; Hair; Feather; Down"
"N4","止","{""し""}","{""と.まる"",""-ど.まり"",""と.める"",""-と.める"",""-ど.め"",""とど.める"",""とど.め"",""とど.まる"",""や.める"",""や.む"",""-や.む"",""よ.す"",""-さ.す"",""-さ.し""}","Stop; Halt"
"N4","兄","{""けい"",""きょう""}","{""あに""}","Elder Brother; Big Brother"
"N4","冬","{""とう""}","{""ふゆ""}","Winter"
"N5","北","{""ほく""}","{""きた""}","North"
"N5","半","{""はん""}","{""なか.ば""}","Half; Middle; Odd Number; Semi-; Part-"
"N4","古","{""こ""}","{""ふる.い"",""ふる-"",""-ふる.す""}","Old"
"N4","台","{""だい"",""たい""}","{""うてな"",""われ"",""つかさ""}","Pedestal; A Stand; Counter For Machines And Vehicles"
"N5","外","{""がい"",""げ""}","{""そと"",""ほか"",""はず.す"",""はず.れる"",""と-""}","Outside"
"N3","市","{""し""}","{""いち""}","Market; City; Town"
"N4","広","{""こう""}","{""ひろ.い"",""ひろ.まる"",""ひろ.める"",""ひろ.がる"",""ひろ.げる""}","Wide; Broad; Spacious"
"N5","母","{""ぼ""}","{""はは"",""も""}","Mother"
"N4","用","{""よう""}","{""もち.いる""}","Utilize; Business; Service; Use; Employ"
"N1","矢","{""し""}","{""や""}","Dart; Arrow"
"N4","世","{""せい"",""せ"",""そう""}","{""よ""}","Generation; World; Society; Public"
"N4","主","{""しゅ"",""す"",""しゅう""}","{""ぬし"",""おも"",""あるじ""}","Lord; Chief; Master; Main Thing; Principal"
"N3","他","{""た""}","{""ほか""}","Other; Another; The Others"
"N4","代","{""だい"",""たい""}","{""か.わる"",""かわ.る"",""かわ.り"",""か.わり"",""-がわ.り"",""-が.わり"",""か.える"",""よ"",""しろ""}","Substitute; Change; Convert; Replace; Period; Age; Counter For Decades Of Ages, Eras, Etc.; Generation; Charge; Rate; Fee"
"N4","写","{""しゃ"",""じゃ""}","{""うつ.す"",""うつ.る"",""うつ-"",""うつ.し""}","Copy; Be Photographed; Describe"
"N4","去","{""きょ"",""こ""}","{""さ.る"",""-さ.る""}","Gone; Past; Quit; Leave; Elapse; Eliminate; Divorce"
"N3","号","{""ごう""}","{""さけ.ぶ"",""よびな""}","Nickname; Number; Item; Title; Pseudonym; Name; Call"
"N2","央","{""おう""}","{}","Center; Middle"
"N3","平","{""へい"",""びょう"",""ひょう""}","{""たい.ら"",""-だいら"",""ひら"",""ひら-""}","Even; Flat; Peace"
"N3","打","{""だ"",""だあす""}","{""う.つ"",""う.ち-"",""ぶ.つ""}","Strike; Hit; Knock; Pound; Dozen"
"N2","氷","{""ひょう""}","{""こおり"",""ひ"",""こお.る""}","Icicle; Ice; Hail; Freeze; Congeal"
"N3","申","{""しん""}","{""もう.す"",""もう.し-"",""さる""}","Have The Honor To; Sign Of The Monkey; 3-5pm; Ninth Sign Of Chinese Zodiac"
"N2","皮","{""ひ""}","{""かわ""}","Pelt; Skin; Hide; Leather; Skin Radical (no. 107)"
"N2","皿","{""べい""}","{""さら""}","Dish; A Helping; Plate"
"N3","礼","{""れい"",""らい""}","{}","Salute; Bow; Ceremony; Thanks; Remuneration"
"N5","休","{""きゅう""}","{""やす.む"",""やす.まる"",""やす.める""}","Rest; Day Off; Retire; Sleep"
"N5","先","{""せん""}","{""さき"",""ま.ず""}","Before; Ahead; Previous; Future; Precedence"
"N5","名","{""めい"",""みょう""}","{""な"",""-な""}","Name; Noted; Distinguished; Reputation"
"N4","字","{""じ""}","{""あざ"",""あざな"",""-な""}","Character; Letter; Word; Section Of Village"
"N5","年","{""ねん""}","{""とし""}","Year; Counter For Years"
"N4","早","{""そう"",""さっ""}","{""はや.い"",""はや"",""はや-"",""はや.まる"",""はや.める"",""さ-""}","Early; Fast"
"N5","気","{""き"",""け""}","{""いき""}","Spirit; Mind; Air; Atmosphere; Mood"
"N5","百","{""ひゃく"",""びゃく""}","{""もも""}","Hundred"
"N2","竹","{""ちく""}","{""たけ""}","Bamboo"
"N2","糸","{""し""}","{""いと""}","Thread"
"N3","耳","{""じ""}","{""みみ""}","Ear"
"N2","虫","{""ちゅう"",""き""}","{""むし""}","Insect; Bug; Temper"
"N2","村","{""そん""}","{""むら""}","Village; Town"
"N5","男","{""だん"",""なん""}","{""おとこ"",""お""}","Male"
"N4","町","{""ちょう""}","{""まち""}","Town; Village; Block; Street"
"N4","花","{""か"",""け""}","{""はな""}","Flower"
"N5","見","{""けん""}","{""み.る"",""み.える"",""み.せる""}","See; Hopes; Chances; Idea; Opinion; Look At; Visible"
"N2","貝","{""ばい""}","{""かい""}","Shellfish"
"N4","赤","{""せき"",""しゃく""}","{""あか"",""あか-"",""あか.い"",""あか.らむ"",""あか.らめる""}","Red"
"N4","足","{""そく""}","{""あし"",""た.りる"",""た.る"",""た.す""}","Leg; Foot; Be Sufficient; Counter For Pairs Of Footwear"
